,ABG,ACT,AEL,AFH,AFX,AIL,AMS,APF,ARI,ASC,ATT,AWA,BAW,BIL,BRN,BVT,CFR,CLR,CML,CPI,CSB,DCP,DLT,DTC,EOH,EQU,FBR,FFB,GFI,GND,GRP,HAR,HDC,HPB,IAP,INL,IPF,ITE,IVT,KAP,KST,L4L,LBR,LHC,MEI,MMI,MNK,MPT,MSM,MTA,MUR,NHM,NPN,NT1,OCE,OMN,PAN,PGR,PPC,PSG,RBP,RCL,REB,RES,RLO,RMI,RPL,SAC,SBK,SGL,SLM,SNT,SPG,SRE,SUI,TBS,TDH,TFG,TON,TRU,VKE,VVO,WHL,ACL,ADH,AFE,AFT,AGL,AIP,ANG,APN,ARL,ASR,AVI,BAT,BID,BLU,BTI,CCO,CLH,CLS,COH,CRP,CTK,DGH,DSY,EMI,EPP,EXX,FFA,FSR,GLN,GRP,GRT,HCI,HMN,HYP,IMP,INP,IPL,ITU,JSE,KIO,L2D,LBH,LEW,LON,MIX,MND,MNP,MRP,MSP,MTN,NED,NPK,NRP,NTC,OCT,OMU,PFG,PIK,PPH,QLT,RBX,RDF,REM,RFG,RMH,RNI,S32,SAP,SDO,SHP,SNH,SOL,SPP,STP,SUR,TCP,TEX,TKG,TRE,TSH,VOD,WBO,ZED
ABG,0.007,0.004,0.007,0.007,0.005,0.008,0.010,0.003,0.010,0.009,0.004,0.003,0.007,0.012,0.002,0.007,0.010,0.006,0.008,0.009,0.006,0.010,0.006,0.005,0.008,0.005,0.001,0.012,0.006,0.008,0.011,0.008,0.003,0.006,0.003,0.009,0.003,0.004,0.005,0.006,0.003,0.004,0.009,0.010,0.010,0.008,0.008,0.006,0.009,0.007,0.005,0.012,0.013,0.002,0.005,0.007,0.007,0.005,0.005,0.010,0.007,0.003,0.006,0.009,0.003,0.007,0.008,0.005,0.008,0.012,0.009,0.003,0.005,0.003,0.005,0.007,0.002,0.007,0.006,0.007,0.004,0.009,0.009,0.011,0.002,0.005,0.002,0.010,0.006,0.009,0.011,0.008,0.009,0.006,0.009,0.008,0.008,0.008,0.005,0.002,0.007,0.007,0.006,0.005,0.008,0.008,0.005,0.003,0.011,0.003,0.008,0.013,0.011,0.004,0.006,0.005,0.008,0.010,0.009,0.010,0.006,0.007,0.009,-0.000,0.008,0.006,0.014,0.005,0.008,0.008,0.008,0.005,0.006,0.007,0.008,0.012,0.007,0.006,0.008,0.009,0.010,0.009,0.008,0.003,0.005,0.009,0.006,0.008,0.009,0.011,0.008,0.010,0.005,0.010,0.011,0.008,0.005,0.005,0.006,0.004,0.008,0.011,0.005,0.006,0.004,0.010
ACT,0.004,0.003,0.005,0.004,0.003,0.005,0.007,0.002,0.006,0.006,0.003,0.002,0.004,0.008,0.001,0.004,0.006,0.004,0.005,0.006,0.004,0.006,0.004,0.003,0.005,0.003,0.001,0.007,0.004,0.005,0.007,0.005,0.002,0.004,0.002,0.006,0.002,0.002,0.003,0.004,0.002,0.002,0.006,0.006,0.006,0.005,0.005,0.004,0.006,0.004,0.003,0.007,0.008,0.001,0.003,0.004,0.005,0.003,0.003,0.006,0.005,0.002,0.004,0.006,0.002,0.005,0.005,0.003,0.005,0.007,0.006,0.002,0.003,0.002,0.003,0.004,0.001,0.004,0.004,0.004,0.003,0.006,0.005,0.007,0.001,0.003,0.001,0.006,0.004,0.006,0.007,0.005,0.005,0.004,0.006,0.005,0.005,0.005,0.003,0.001,0.004,0.004,0.003,0.003,0.005,0.005,0.003,0.002,0.007,0.002,0.005,0.008,0.007,0.002,0.004,0.003,0.005,0.006,0.006,0.006,0.004,0.004,0.005,-0.000,0.005,0.003,0.009,0.003,0.005,0.005,0.005,0.003,0.004,0.004,0.005,0.007,0.005,0.004,0.005,0.005,0.006,0.006,0.005,0.002,0.003,0.005,0.004,0.005,0.006,0.007,0.005,0.006,0.003,0.006,0.007,0.005,0.003,0.003,0.004,0.003,0.005,0.007,0.003,0.004,0.003,0.006
AEL,0.007,0.005,0.008,0.007,0.006,0.009,0.012,0.003,0.011,0.010,0.005,0.003,0.008,0.014,0.002,0.007,0.011,0.007,0.008,0.010,0.007,0.011,0.007,0.006,0.009,0.006,0.001,0.013,0.007,0.009,0.012,0.009,0.003,0.007,0.003,0.010,0.004,0.004,0.005,0.007,0.003,0.004,0.010,0.011,0.011,0.009,0.009,0.007,0.010,0.008,0.005,0.013,0.014,0.002,0.006,0.008,0.008,0.006,0.006,0.011,0.008,0.003,0.006,0.010,0.004,0.008,0.009,0.006,0.009,0.013,0.010,0.003,0.005,0.003,0.006,0.008,0.002,0.008,0.007,0.007,0.004,0.010,0.010,0.012,0.002,0.006,0.002,0.011,0.007,0.010,0.012,0.008,0.010,0.007,0.010,0.009,0.008,0.009,0.006,0.002,0.007,0.008,0.006,0.005,0.009,0.009,0.006,0.004,0.012,0.003,0.008,0.014,0.012,0.004,0.007,0.006,0.009,0.011,0.010,0.011,0.006,0.007,0.010,-0.000,0.009,0.006,0.015,0.005,0.009,0.009,0.009,0.005,0.007,0.007,0.008,0.013,0.008,0.006,0.009,0.010,0.011,0.010,0.008,0.003,0.006,0.010,0.007,0.008,0.010,0.012,0.009,0.011,0.006,0.011,0.013,0.009,0.005,0.006,0.007,0.005,0.008,0.012,0.006,0.007,0.004,0.011
AFH,0.007,0.004,0.007,0.006,0.005,0.008,0.010,0.003,0.010,0.009,0.004,0.003,0.007,0.012,0.002,0.006,0.010,0.006,0.007,0.009,0.006,0.010,0.006,0.005,0.008,0.005,0.001,0.011,0.006,0.008,0.011,0.008,0.003,0.006,0.003,0.009,0.003,0.004,0.005,0.006,0.003,0.004,0.009,0.010,0.010,0.008,0.008,0.006,0.009,0.007,0.005,0.012,0.013,0.002,0.005,0.007,0.007,0.005,0.005,0.010,0.007,0.003,0.006,0.009,0.003,0.007,0.008,0.005,0.008,0.012,0.009,0.003,0.005,0.002,0.005,0.007,0.002,0.007,0.006,0.007,0.004,0.009,0.009,0.011,0.002,0.005,0.002,0.010,0.006,0.009,0.010,0.007,0.008,0.006,0.009,0.008,0.008,0.008,0.005,0.002,0.007,0.007,0.005,0.004,0.008,0.008,0.005,0.003,0.010,0.003,0.007,0.013,0.011,0.004,0.006,0.005,0.008,0.010,0.009,0.009,0.006,0.007,0.008,-0.000,0.008,0.006,0.014,0.005,0.008,0.008,0.008,0.005,0.006,0.007,0.007,0.011,0.007,0.006,0.008,0.009,0.010,0.009,0.007,0.003,0.005,0.009,0.006,0.008,0.009,0.011,0.008,0.010,0.005,0.009,0.011,0.008,0.005,0.005,0.006,0.004,0.008,0.010,0.005,0.006,0.004,0.010
AFX,0.005,0.003,0.006,0.005,0.004,0.006,0.008,0.002,0.008,0.007,0.003,0.002,0.005,0.009,0.001,0.005,0.007,0.005,0.006,0.007,0.005,0.008,0.005,0.004,0.006,0.004,0.001,0.009,0.005,0.006,0.008,0.006,0.002,0.005,0.002,0.007,0.002,0.003,0.004,0.005,0.002,0.003,0.007,0.008,0.007,0.006,0.006,0.005,0.007,0.005,0.004,0.009,0.010,0.002,0.004,0.005,0.006,0.004,0.004,0.007,0.006,0.002,0.004,0.007,0.003,0.006,0.006,0.004,0.006,0.009,0.007,0.002,0.004,0.002,0.004,0.005,0.001,0.005,0.005,0.005,0.003,0.007,0.007,0.008,0.001,0.004,0.002,0.008,0.005,0.007,0.008,0.006,0.006,0.005,0.007,0.006,0.006,0.006,0.004,0.002,0.005,0.005,0.004,0.003,0.006,0.006,0.004,0.002,0.008,0.002,0.006,0.010,0.008,0.003,0.005,0.004,0.006,0.008,0.007,0.007,0.004,0.005,0.006,-0.000,0.006,0.004,0.010,0.003,0.006,0.006,0.006,0.004,0.005,0.005,0.006,0.009,0.006,0.004,0.006,0.007,0.007,0.007,0.006,0.002,0.004,0.007,0.005,0.006,0.007,0.008,0.006,0.007,0.004,0.007,0.008,0.006,0.003,0.004,0.005,0.003,0.006,0.008,0.004,0.005,0.003,0.007
AIL,0.008,0.005,0.009,0.008,0.006,0.011,0.013,0.004,0.013,0.012,0.006,0.004,0.009,0.016,0.002,0.008,0.013,0.008,0.010,0.012,0.008,0.013,0.008,0.006,0.010,0.007,0.002,0.015,0.008,0.010,0.014,0.010,0.003,0.008,0.003,0.012,0.004,0.005,0.006,0.008,0.004,0.005,0.012,0.013,0.013,0.011,0.010,0.008,0.012,0.009,0.006,0.015,0.016,0.003,0.007,0.009,0.009,0.007,0.007,0.013,0.010,0.003,0.007,0.012,0.004,0.010,0.011,0.006,0.011,0.015,0.012,0.004,0.006,0.003,0.007,0.009,0.002,0.009,0.008,0.009,0.005,0.012,0.011,0.014,0.002,0.007,0.003,0.013,0.008,0.012,0.014,0.010,0.011,0.008,0.012,0.010,0.010,0.010,0.007,0.003,0.008,0.009,0.007,0.006,0.011,0.010,0.006,0.004,0.014,0.004,0.010,0.016,0.014,0.005,0.008,0.006,0.010,0.013,0.011,0.012,0.007,0.008,0.011,-0.000,0.010,0.007,0.018,0.006,0.010,0.011,0.011,0.006,0.008,0.009,0.010,0.015,0.009,0.007,0.010,0.011,0.012,0.012,0.010,0.004,0.007,0.011,0.008,0.010,0.012,0.014,0.011,0.013,0.007,0.012,0.014,0.010,0.006,0.007,0.008,0.005,0.010,0.014,0.007,0.008,0.005,0.012
AMS,0.010,0.007,0.012,0.010,0.008,0.013,0.017,0.005,0.016,0.015,0.007,0.005,0.011,0.019,0.003,0.010,0.016,0.010,0.012,0.014,0.010,0.016,0.009,0.008,0.012,0.008,0.002,0.018,0.010,0.013,0.017,0.013,0.004,0.010,0.004,0.014,0.005,0.006,0.008,0.010,0.005,0.006,0.015,0.016,0.015,0.013,0.013,0.010,0.015,0.011,0.008,0.019,0.020,0.003,0.008,0.011,0.012,0.008,0.008,0.016,0.012,0.004,0.009,0.014,0.005,0.012,0.013,0.008,0.013,0.019,0.015,0.005,0.008,0.004,0.008,0.011,0.003,0.011,0.010,0.011,0.006,0.015,0.014,0.018,0.002,0.009,0.003,0.016,0.010,0.015,0.017,0.012,0.014,0.009,0.015,0.012,0.012,0.012,0.008,0.003,0.010,0.011,0.009,0.007,0.013,0.013,0.008,0.005,0.017,0.005,0.012,0.020,0.018,0.006,0.010,0.008,0.012,0.016,0.014,0.015,0.009,0.010,0.014,-0.000,0.013,0.009,0.022,0.007,0.013,0.013,0.013,0.008,0.010,0.011,0.012,0.018,0.012,0.009,0.013,0.014,0.015,0.015,0.012,0.005,0.009,0.014,0.010,0.012,0.014,0.017,0.013,0.016,0.009,0.015,0.018,0.013,0.007,0.008,0.010,0.006,0.012,0.017,0.008,0.010,0.006,0.015
APF,0.003,0.002,0.003,0.003,0.002,0.004,0.005,0.001,0.004,0.004,0.002,0.001,0.003,0.005,0.001,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.002,0.003,0.002,0.001,0.005,0.003,0.003,0.005,0.004,0.001,0.003,0.001,0.004,0.001,0.002,0.002,0.003,0.001,0.002,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.002,0.005,0.006,0.001,0.002,0.003,0.003,0.002,0.002,0.004,0.003,0.001,0.003,0.004,0.001,0.003,0.004,0.002,0.004,0.005,0.004,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.003,0.003,0.002,0.004,0.004,0.005,0.001,0.002,0.001,0.004,0.003,0.004,0.005,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.002,0.001,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.001,0.005,0.001,0.003,0.006,0.005,0.002,0.003,0.002,0.003,0.004,0.004,0.004,0.002,0.003,0.004,-0.000,0.004,0.002,0.006,0.002,0.003,0.004,0.004,0.002,0.003,0.003,0.003,0.005,0.003,0.002,0.003,0.004,0.004,0.004,0.003,0.001,0.002,0.004,0.003,0.003,0.004,0.005,0.004,0.004,0.002,0.004,0.005,0.003,0.002,0.002,0.003,0.002,0.003,0.005,0.002,0.003,0.002,0.004
ARI,0.010,0.006,0.011,0.010,0.008,0.013,0.016,0.004,0.016,0.014,0.007,0.005,0.011,0.019,0.003,0.010,0.015,0.010,0.012,0.014,0.010,0.016,0.009,0.008,0.012,0.008,0.002,0.018,0.010,0.012,0.017,0.013,0.004,0.009,0.004,0.014,0.005,0.006,0.007,0.010,0.005,0.006,0.014,0.016,0.015,0.013,0.012,0.009,0.015,0.011,0.008,0.019,0.020,0.003,0.008,0.011,0.011,0.008,0.008,0.016,0.012,0.004,0.009,0.014,0.005,0.012,0.013,0.008,0.013,0.018,0.014,0.005,0.007,0.004,0.008,0.011,0.003,0.011,0.010,0.010,0.006,0.015,0.014,0.017,0.002,0.008,0.003,0.016,0.010,0.015,0.017,0.012,0.013,0.009,0.014,0.012,0.012,0.012,0.008,0.003,0.010,0.011,0.009,0.007,0.013,0.012,0.008,0.005,0.017,0.005,0.012,0.020,0.017,0.006,0.010,0.008,0.012,0.016,0.014,0.015,0.009,0.010,0.013,-0.000,0.013,0.009,0.022,0.007,0.013,0.013,0.013,0.007,0.009,0.011,0.012,0.018,0.012,0.009,0.012,0.014,0.015,0.014,0.012,0.004,0.008,0.014,0.010,0.012,0.014,0.017,0.013,0.016,0.009,0.015,0.018,0.012,0.007,0.008,0.009,0.006,0.012,0.017,0.008,0.010,0.006,0.015
ASC,0.009,0.006,0.010,0.009,0.007,0.012,0.015,0.004,0.014,0.013,0.006,0.004,0.010,0.017,0.002,0.009,0.014,0.009,0.010,0.013,0.009,0.014,0.008,0.007,0.011,0.007,0.002,0.016,0.009,0.011,0.015,0.011,0.004,0.008,0.004,0.013,0.004,0.005,0.007,0.009,0.004,0.005,0.013,0.014,0.014,0.011,0.011,0.008,0.013,0.009,0.007,0.017,0.018,0.003,0.007,0.010,0.010,0.007,0.007,0.014,0.010,0.004,0.008,0.013,0.005,0.010,0.012,0.007,0.012,0.016,0.013,0.004,0.007,0.003,0.007,0.009,0.003,0.010,0.009,0.009,0.006,0.013,0.012,0.015,0.002,0.008,0.003,0.014,0.009,0.013,0.015,0.011,0.012,0.008,0.013,0.011,0.011,0.011,0.007,0.003,0.009,0.009,0.008,0.006,0.012,0.011,0.007,0.005,0.015,0.004,0.011,0.018,0.015,0.006,0.009,0.007,0.011,0.014,0.012,0.013,0.008,0.009,0.012,-0.000,0.011,0.008,0.019,0.006,0.011,0.011,0.012,0.007,0.008,0.009,0.010,0.016,0.010,0.008,0.011,0.012,0.013,0.013,0.010,0.004,0.008,0.012,0.009,0.011,0.013,0.015,0.012,0.014,0.008,0.013,0.016,0.011,0.006,0.007,0.008,0.006,0.011,0.015,0.007,0.009,0.006,0.013
